Song,Artist,Date,Streams,Rank,Country
I'm Not Cool,HyunA,2021-02-01,"1,201",134,"Korea, Republic of"
Whoopty,CJ,2021-02-01,"1,186",135,"Korea, Republic of"
Memories,Maroon 5,2021-02-01,"1,179",136,"Korea, Republic of"
Blueming,IU,2021-02-01,"1,177",137,"Korea, Republic of"
If the World Was Ending - feat. Julia Michaels,JP Saxe,2021-02-01,"1,174",138,"Korea, Republic of"
instagram,DEAN,2021-02-01,"1,168",139,"Korea, Republic of"
예뻤어 You Were Beautiful,DAY6,2021-02-01,"1,163",140,"Korea, Republic of"
DÁKITI,"Bad Bunny, Jhay Cortez",2021-02-01,"1,163",141,"Korea, Republic of"
Make It Right (feat. Lauv),BTS,2021-02-01,"1,161",142,"Korea, Republic of"
舞い落ちる花びら(Fallin' Flower),SEVENTEEN,2021-02-01,"1,159",143,"Korea, Republic of"
Outro : Ego,BTS,2021-02-01,"1,157",144,"Korea, Republic of"
IDOL,BTS,2021-02-01,"1,149",145,"Korea, Republic of"
Be Kind (with Halsey),Marshmello,2021-02-01,"1,148",146,"Korea, Republic of"
pov,Ariana Grande,2021-02-01,"1,140",147,"Korea, Republic of"
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande,2021-02-01,"1,139",148,"Korea, Republic of"
comethru,Jeremy Zucker,2021-02-01,"1,139",149,"Korea, Republic of"
Love Again,BAEKHYUN,2021-02-01,"1,135",150,"Korea, Republic of"
Waste It On Me (feat. BTS),Steve Aoki,2021-02-01,"1,134",151,"Korea, Republic of"
Dope,BTS,2021-02-01,"1,131",152,"Korea, Republic of"
Paradise (feat. Dermot Kennedy),MEDUZA,2021-02-01,"1,130",153,"Korea, Republic of"
HWAA,(G)I-DLE,2021-02-01,"1,130",154,"Korea, Republic of"
Outro: Tear,BTS,2021-02-01,"1,130",155,"Korea, Republic of"
Left & Right,SEVENTEEN,2021-02-01,"1,127",156,"Korea, Republic of"
CREDIT,"lIlBOI, YUMDDA, GIRIBOY, Zion.T",2021-02-01,"1,126",157,"Korea, Republic of"
Let Go,BTS,2021-02-01,"1,126",158,"Korea, Republic of"
Never Not,Lauv,2021-02-01,"1,111",159,"Korea, Republic of"
Intentions (feat. Quavo),Justin Bieber,2021-02-01,"1,109",160,"Korea, Republic of"
Not Today,BTS,2021-02-01,"1,109",161,"Korea, Republic of"
What You Know Bout Love,Pop Smoke,2021-02-01,"1,099",162,"Korea, Republic of"
Save Me,BTS,2021-02-01,"1,095",163,"Korea, Republic of"
"10,000 Hours (with Justin Bieber)",Dan + Shay,2021-02-01,"1,094",164,"Korea, Republic of"
HOLO,LeeHi,2021-02-01,"1,085",165,"Korea, Republic of"
Lonely (with benny blanco),Justin Bieber,2021-02-01,"1,078",166,"Korea, Republic of"
So What,BTS,2021-02-01,"1,075",167,"Korea, Republic of"
I Need U,BTS,2021-02-01,"1,073",168,"Korea, Republic of"
Dynamite - Holiday Remix,BTS,2021-02-01,"1,072",169,"Korea, Republic of"
Heartbeat (BTS World Original Soundtrack),BTS,2021-02-01,"1,070",170,"Korea, Republic of"
SoulMate (feat. IU),ZICO,2021-02-01,"1,070",171,"Korea, Republic of"
Ridin',NCT DREAM,2021-02-01,"1,068",172,"Korea, Republic of"
i'm so tired...,"Lauv, Troye Sivan",2021-02-01,"1,065",173,"Korea, Republic of"
Love To Hate Me,BLACKPINK,2021-02-01,"1,056",174,"Korea, Republic of"
X,CHUNG HA,2021-02-01,"1,056",175,"Korea, Republic of"
Dolphin,OH MY GIRL,2021-02-01,"1,056",176,"Korea, Republic of"
Rain On Me (with Ariana Grande),Lady Gaga,2021-02-01,"1,048",177,"Korea, Republic of"
BOSS,"NCT, NCT U",2021-02-01,"1,047",178,"Korea, Republic of"
Mmmh,KAI,2021-02-01,"1,046",179,"Korea, Republic of"
Interlude : Shadow,BTS,2021-02-01,"1,045",180,"Korea, Republic of"
Stigma,BTS,2021-02-01,"1,044",181,"Korea, Republic of"
If I Can't Have You,Shawn Mendes,2021-02-01,"1,044",182,"Korea, Republic of"
Butterfly,BTS,2021-02-01,"1,043",183,"Korea, Republic of"
Cherry Bomb,NCT 127,2021-02-01,"1,031",184,"Korea, Republic of"
It's Definitely You,"V, JIN",2021-02-01,"1,021",185,"Korea, Republic of"
ROCKSTAR (feat. Roddy Ricch),DaBaby,2021-02-01,"1,018",186,"Korea, Republic of"
Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,Lil Nas X,2021-02-01,"1,014",187,"Korea, Republic of"
Back Door,Stray Kids,2021-02-01,"1,013",188,"Korea, Republic of"
Dream Glow (BTS World Original Soundtrack) - Pt. 1,"BTS, Charli XCX",2021-02-01,"1,006",189,"Korea, Republic of"
Dynamite,BTS,2021-02-02,"30,389",1,"Korea, Republic of"
Life Goes On,BTS,2021-02-02,"26,897",2,"Korea, Republic of"
Blue & Grey,BTS,2021-02-02,"14,697",3,"Korea, Republic of"
Fly To My Room,BTS,2021-02-02,"14,140",4,"Korea, Republic of"
Lovesick Girls,BLACKPINK,2021-02-02,"13,783",5,"Korea, Republic of"
Boy With Luv (feat. Halsey),BTS,2021-02-02,"13,222",6,"Korea, Republic of"
Stay,BTS,2021-02-02,"12,881",7,"Korea, Republic of"
Dis-ease,BTS,2021-02-02,"12,658",8,"Korea, Republic of"
Telepathy,BTS,2021-02-02,"12,137",9,"Korea, Republic of"
ON,BTS,2021-02-02,"10,664",10,"Korea, Republic of"
At My Worst,Pink Sweat$,2021-02-02,"8,984",11,"Korea, Republic of"
drivers license,Olivia Rodrigo,2021-02-02,"8,769",12,"Korea, Republic of"
Filter,BTS,2021-02-02,"8,714",13,"Korea, Republic of"
Black Mamba,aespa,2021-02-02,"8,483",14,"Korea, Republic of"
친구,BTS,2021-02-02,"8,193",15,"Korea, Republic of"
How You Like That,BLACKPINK,2021-02-02,"8,116",16,"Korea, Republic of"
Euphoria,BTS,2021-02-02,"7,898",17,"Korea, Republic of"
Mikrokosmos,BTS,2021-02-02,"7,720",18,"Korea, Republic of"
Celebrity,IU,2021-02-02,"7,615",19,"Korea, Republic of"
My Time,BTS,2021-02-02,"7,594",20,"Korea, Republic of"
VVS,"Mirani, Munchman, Khundi Panda, MUSHVENOM, JUSTHIS",2021-02-02,"7,559",21,"Korea, Republic of"
34+35,Ariana Grande,2021-02-02,"7,393",22,"Korea, Republic of"
Levitating (feat. DaBaby),Dua Lipa,2021-02-02,"7,285",23,"Korea, Republic of"
Jamais Vu,BTS,2021-02-02,"7,082",24,"Korea, Republic of"
Anyone,Justin Bieber,2021-02-02,"7,080",25,"Korea, Republic of"
Panorama,IZ*ONE,2021-02-02,"6,828",26,"Korea, Republic of"
Spring Day,BTS,2021-02-02,"6,622",27,"Korea, Republic of"
People,Agust D,2021-02-02,"6,608",28,"Korea, Republic of"
Daechwita,Agust D,2021-02-02,"6,557",29,"Korea, Republic of"
Black Swan,BTS,2021-02-02,"6,457",30,"Korea, Republic of"
Intro : Persona,BTS,2021-02-02,"6,322",31,"Korea, Republic of"
I CAN'T STOP ME,TWICE,2021-02-02,"6,147",32,"Korea, Republic of"
Pretty Savage,BLACKPINK,2021-02-02,"6,040",33,"Korea, Republic of"
Sweet Night,V,2021-02-02,"6,035",34,"Korea, Republic of"
DNA,BTS,2021-02-02,"5,904",35,"Korea, Republic of"
We are Bulletproof : the Eternal,BTS,2021-02-02,"5,870",36,"Korea, Republic of"
positions,Ariana Grande,2021-02-02,"5,816",37,"Korea, Republic of"
Make A Wish (Birthday Song),NCT U,2021-02-02,"5,783",38,"Korea, Republic of"
Save Your Tears,The Weeknd,2021-02-02,"5,705",39,"Korea, Republic of"
What Do I Call You,TAEYEON,2021-02-02,"5,620",40,"Korea, Republic of"
FAKE LOVE,BTS,2021-02-02,"5,612",41,"Korea, Republic of"
Ice Cream (with Selena Gomez),BLACKPINK,2021-02-02,"5,541",42,"Korea, Republic of"
Stuck with U (with Justin Bieber),Ariana Grande,2021-02-02,"5,514",43,"Korea, Republic of"
Blinding Lights,The Weeknd,2021-02-02,"5,484",44,"Korea, Republic of"
MIC Drop (Steve Aoki Remix) [Full Length Edition],BTS,2021-02-02,"5,465",45,"Korea, Republic of"
Magic Shop,BTS,2021-02-02,"5,426",46,"Korea, Republic of"
Psycho,Red Velvet,2021-02-02,"5,368",47,"Korea, Republic of"
Make It Right,BTS,2021-02-02,"5,279",48,"Korea, Republic of"
Moon,BTS,2021-02-02,"5,240",49,"Korea, Republic of"
00:00 (Zero O’Clock),BTS,2021-02-02,"5,228",50,"Korea, Republic of"
right here,keshi,2021-02-02,"5,228",51,"Korea, Republic of"
Someone You Loved,Lewis Capaldi,2021-02-02,"5,143",52,"Korea, Republic of"
Strange,"Agust D, RM",2021-02-02,"5,126",53,"Korea, Republic of"
Chicken Noodle Soup (feat. Becky G),j-hope,2021-02-02,"5,107",54,"Korea, Republic of"
HOME,BTS,2021-02-02,"5,047",55,"Korea, Republic of"
Serendipity (Full Length Edition),BTS,2021-02-02,"5,040",56,"Korea, Republic of"
Savage Love (Laxed – Siren Beat) [BTS Remix],"Jawsh 685, Jason Derulo",2021-02-02,"4,966",57,"Korea, Republic of"
90's Love,NCT U,2021-02-02,"4,844",58,"Korea, Republic of"
Good Days,SZA,2021-02-02,"4,757",59,"Korea, Republic of"
Beautiful People (feat. Khalid),Ed Sheeran,2021-02-02,"4,732",60,"Korea, Republic of"
Pied Piper,BTS,2021-02-02,"4,672",61,"Korea, Republic of"
I Like Me Better,Lauv,2021-02-02,"4,631",62,"Korea, Republic of"
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,2021-02-02,"4,601",63,"Korea, Republic of"
willow,Taylor Swift,2021-02-02,"4,592",64,"Korea, Republic of"
Respect,BTS,2021-02-02,"4,553",65,"Korea, Republic of"
Not Shy,ITZY,2021-02-02,"4,551",66,"Korea, Republic of"
Therefore I Am,Billie Eilish,2021-02-02,"4,484",67,"Korea, Republic of"
The Truth Untold,"BTS, Steve Aoki",2021-02-02,"4,480",68,"Korea, Republic of"
Inner Child,BTS,2021-02-02,"4,402",69,"Korea, Republic of"
Love Maze,BTS,2021-02-02,"4,395",70,"Korea, Republic of"
Don't Start Now,Dua Lipa,2021-02-02,"4,363",71,"Korea, Republic of"
Holy (feat. Chance The Rapper),Justin Bieber,2021-02-02,"4,282",72,"Korea, Republic of"
METEOR,CHANGMO,2021-02-02,"4,277",73,"Korea, Republic of"
Burn It,"Agust D, MAX",2021-02-02,"4,270",74,"Korea, Republic of"
Lie,BTS,2021-02-02,"4,256",75,"Korea, Republic of"
Bet You Wanna (feat. Cardi B),BLACKPINK,2021-02-02,"4,237",76,"Korea, Republic of"
욱 (UGH!),BTS,2021-02-02,"4,231",77,"Korea, Republic of"
Dionysus,BTS,2021-02-02,"4,180",78,"Korea, Republic of"
Kick It,NCT 127,2021-02-02,"4,149",79,"Korea, Republic of"
"How can I love the heartbreak, you're the one I love",AKMU,2021-02-02,"4,146",80,"Korea, Republic of"
Airplane pt.2,BTS,2021-02-02,"4,127",81,"Korea, Republic of"
Anpanman,BTS,2021-02-02,"4,108",82,"Korea, Republic of"
First Love,NCT 127,2021-02-02,"4,106",83,"Korea, Republic of"
2002,Anne-Marie,2021-02-02,"4,091",84,"Korea, Republic of"
Best Of Me,BTS,2021-02-02,"4,087",85,"Korea, Republic of"
Louder than bombs,BTS,2021-02-02,"4,086",86,"Korea, Republic of"
IDOL,BTS,2021-02-02,"4,049",87,"Korea, Republic of"
Go Go,BTS,2021-02-02,"4,000",88,"Korea, Republic of"
For You,"LeeHi, Crush",2021-02-02,"3,975",89,"Korea, Republic of"
Blood Sweat & Tears,BTS,2021-02-02,"3,945",90,"Korea, Republic of"
Tomorrow,"lIlBOI, GIRIBOY, BIG Naughty",2021-02-02,"3,934",91,"Korea, Republic of"
Mood (feat. iann dior),24kGoldn,2021-02-02,"3,929",92,"Korea, Republic of"
blue,keshi,2021-02-02,"3,857",93,"Korea, Republic of"
Answer : Love Myself,BTS,2021-02-02,"3,845",94,"Korea, Republic of"
Dope,BTS,2021-02-02,"3,842",95,"Korea, Republic of"
Amusement Park,BAEKHYUN,2021-02-02,"3,819",96,"Korea, Republic of"
dimple,BTS,2021-02-02,"3,818",97,"Korea, Republic of"
My Favourite Clothes,RINI,2021-02-02,"3,803",98,"Korea, Republic of"
Baila Conmigo (with Rauw Alejandro),Selena Gomez,2021-02-02,"3,774",99,"Korea, Republic of"
Circles,Post Malone,2021-02-02,"3,659",100,"Korea, Republic of"
Señorita,"Shawn Mendes, Camila Cabello",2021-02-02,"3,605",101,"Korea, Republic of"
Make It Right (feat. Lauv),BTS,2021-02-02,"3,587",102,"Korea, Republic of"
Lo Vas A Olvidar (with ROSALÍA),Billie Eilish,2021-02-02,"3,583",103,"Korea, Republic of"
Epiphany,BTS,2021-02-02,"3,575",104,"Korea, Republic of"
Blank Space,Taylor Swift,2021-02-02,"3,571",105,"Korea, Republic of"
Outro : Ego,BTS,2021-02-02,"3,562",106,"Korea, Republic of"
Save Me,BTS,2021-02-02,"3,509",107,"Korea, Republic of"
Outro: Wings,BTS,2021-02-02,"3,496",108,"Korea, Republic of"
Who (feat. BTS),Lauv,2021-02-02,"3,487",109,"Korea, Republic of"
Intro: Singularity,BTS,2021-02-02,"3,454",110,"Korea, Republic of"
If I Can't Have You,Shawn Mendes,2021-02-02,"3,418",111,"Korea, Republic of"
I Need U,BTS,2021-02-02,"3,416",112,"Korea, Republic of"
Falling,Harry Styles,2021-02-02,"3,416",113,"Korea, Republic of"
BOOM,NCT DREAM,2021-02-02,"3,385",114,"Korea, Republic of"
Square (2017),Yerin Baek,2021-02-02,"3,352",115,"Korea, Republic of"
BOSS,"NCT, NCT U",2021-02-02,"3,310",116,"Korea, Republic of"
"10,000 Hours (with Justin Bieber)",Dan + Shay,2021-02-02,"3,308",117,"Korea, Republic of"
Watermelon Sugar,Harry Styles,2021-02-02,"3,302",118,"Korea, Republic of"
Blueberry Eyes (feat. SUGA of BTS),MAX,2021-02-02,"3,300",119,"Korea, Republic of"
So What,BTS,2021-02-02,"3,297",120,"Korea, Republic of"
X,CHUNG HA,2021-02-02,"3,296",121,"Korea, Republic of"
Memories,Maroon 5,2021-02-02,"3,285",122,"Korea, Republic of"
CRY FOR ME,TWICE,2021-02-02,"3,283",123,"Korea, Republic of"
Not Today,BTS,2021-02-02,"3,262",124,"Korea, Republic of"
Dolphin,OH MY GIRL,2021-02-02,"3,247",125,"Korea, Republic of"
instagram,DEAN,2021-02-02,"3,243",126,"Korea, Republic of"
Afterglow,Ed Sheeran,2021-02-02,"3,230",127,"Korea, Republic of"
HOLO,LeeHi,2021-02-02,"3,221",128,"Korea, Republic of"
Waste It On Me (feat. BTS),Steve Aoki,2021-02-02,"3,205",129,"Korea, Republic of"
Love To Hate Me,BLACKPINK,2021-02-02,"3,200",130,"Korea, Republic of"
Youngblood,5 Seconds of Summer,2021-02-02,"3,194",131,"Korea, Republic of"
Interlude : Shadow,BTS,2021-02-02,"3,164",132,"Korea, Republic of"
comethru,Jeremy Zucker,2021-02-02,"3,149",133,"Korea, Republic of"
Just One Day,BTS,2021-02-02,"3,145",134,"Korea, Republic of"
you broke me first,Tate McRae,2021-02-02,"3,134",135,"Korea, Republic of"
Outro: Tear,BTS,2021-02-02,"3,130",136,"Korea, Republic of"
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2021-02-02,"3,126",137,"Korea, Republic of"
Strawberries & Cigarettes,Troye Sivan,2021-02-02,"3,110",138,"Korea, Republic of"
WANNABE,ITZY,2021-02-02,"3,077",139,"Korea, Republic of"
Moonlight,Agust D,2021-02-02,"3,051",140,"Korea, Republic of"
Run,BTS,2021-02-02,"3,045",141,"Korea, Republic of"
Butterfly,BTS,2021-02-02,"3,030",142,"Korea, Republic of"
Let Go,BTS,2021-02-02,"3,019",143,"Korea, Republic of"
I Don't Care (with Justin Bieber),Ed Sheeran,2021-02-02,"3,003",144,"Korea, Republic of"
Best Friend (feat. Doja Cat),Saweetie,2021-02-02,"2,999",145,"Korea, Republic of"
My Everything,NCT U,2021-02-02,"2,985",146,"Korea, Republic of"
Bang!,AJR,2021-02-02,"2,984",147,"Korea, Republic of"
Dream Glow (BTS World Original Soundtrack) - Pt. 1,"BTS, Charli XCX",2021-02-02,"2,984",148,"Korea, Republic of"
Trivia 轉 : Seesaw,BTS,2021-02-02,"2,980",149,"Korea, Republic of"
Stigma,BTS,2021-02-02,"2,972",150,"Korea, Republic of"
Never Not,Lauv,2021-02-02,"2,964",151,"Korea, Republic of"
Candy,BAEKHYUN,2021-02-02,"2,950",152,"Korea, Republic of"
Thinking out Loud,Ed Sheeran,2021-02-02,"2,943",153,"Korea, Republic of"
Streets,Doja Cat,2021-02-02,"2,939",154,"Korea, Republic of"
pov,Ariana Grande,2021-02-02,"2,935",155,"Korea, Republic of"
Be Kind (with Halsey),Marshmello,2021-02-02,"2,927",156,"Korea, Republic of"
SoulMate (feat. IU),ZICO,2021-02-02,"2,919",157,"Korea, Republic of"
